(lift hoist1 crate5 crate3 depot1)
(lift hoist5 crate4 crate1 distributor2)
(drive truck1 distributor1 depot1)
(drive truck2 distributor0 distributor2)
(load hoist1 crate5 truck1 depot1)
(load hoist5 crate4 truck2 distributor2)
(lift hoist5 crate1 pallet5 distributor2)
(drive truck2 distributor2 distributor1)
(drive truck1 depot1 distributor2)
(load hoist5 crate1 truck1 distributor2)
(unload hoist4 crate4 truck2 distributor1)
(unload hoist5 crate5 truck1 distributor2)
(drop hoist4 crate4 pallet4 distributor1)
(drop hoist5 crate5 pallet5 distributor2)
